OID_,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11
1,310101,34.404200000000003,20.492799999999999,35.714300000000001,10.495200000000001,66.810000000000002,92.196299999999994,28.652799999999999,19.670200000000001,50.701799999999999,60.059300000000000
2,310102,13.724000000000000,13.277400000000000,16.793900000000001,5.106100000000000,67.329999999999998,83.273499999999999,24.836600000000001,10.184900000000001,35.736800000000002,46.029899999999998
3,310103,10.256000000000000,6.993400000000000,12.222200000000001,4.209600000000000,66.750000000000000,78.905500000000004,19.972100000000001,7.595400000000000,24.623300000000000,34.396500000000003
4,310104,13.756600000000001,2.945300000000000,6.631300000000000,3.005800000000000,73.769999999999996,84.632099999999994,11.223100000000001,4.832400000000000,13.139300000000000,20.811299999999999
5,310105,23.402799999999999,11.831000000000000,14.689600000000000,4.232700000000000,67.939999999999998,89.907700000000006,18.886199999999999,8.874499999999999,23.632000000000001,36.180599999999998
6,310106,16.569199999999999,10.122500000000000,15.458299999999999,6.863900000000000,73.299999999999997,82.370900000000006,21.410000000000000,16.440200000000001,22.765200000000000,55.639099999999999
7,310107,18.497399999999999,9.841300000000000,17.208400000000001,6.676000000000000,70.359999999999999,79.661000000000001,26.946300000000001,15.084700000000000,24.412700000000001,64.465599999999995
8,310108,16.895000000000000,6.780800000000000,17.534500000000001,5.153600000000000,69.090000000000003,86.835099999999997,32.824700000000000,20.345700000000001,22.191800000000001,81.598100000000002
9,310109,16.275300000000001,12.226699999999999,21.708200000000001,5.664500000000000,51.200000000000003,70.412800000000004,24.802099999999999,5.504600000000000,28.178100000000001,52.064799999999998
10,310201,7.410900000000000,4.341100000000000,6.546900000000000,2.992100000000000,55.829999999999998,63.466700000000003,13.913000000000000,4.400000000000000,10.139500000000000,32.310000000000002
11,310202,7.631400000000000,3.893200000000000,2.634900000000000,2.657400000000000,27.989999999999998,17.820300000000000,15.788200000000000,2.945500000000000,1.739900000000000,33.143799999999999
12,310203,5.298900000000000,2.845300000000000,4.682400000000000,1.716700000000000,38.549999999999997,32.945999999999998,18.185800000000000,1.110300000000000,0.794800000000000,31.137000000000000
13,310204,7.391200000000000,4.516800000000000,6.659600000000000,3.133100000000000,52.310000000000002,55.709099999999999,14.449600000000000,2.524000000000000,4.188300000000000,27.210500000000000
14,310205,16.059600000000000,8.509900000000000,7.047000000000000,6.386900000000000,60.780000000000001,73.953699999999998,26.228700000000000,8.726599999999999,7.400700000000000,63.211900000000000
15,310206,13.550100000000000,6.338600000000000,3.571400000000000,3.623700000000000,54.390000000000001,57.335299999999997,22.047200000000000,9.165400000000000,1.221900000000000,45.985199999999999
16,310207,14.336100000000000,4.980500000000000,3.547800000000000,5.044600000000000,51.210000000000001,49.014000000000003,23.676500000000001,5.521700000000000,0.189100000000000,49.010199999999998
17,310208,13.077100000000000,6.994100000000000,5.494100000000000,5.937300000000000,55.250000000000000,62.408700000000003,26.754799999999999,8.366700000000000,0.147500000000000,51.883099999999999
18,310209,19.852399999999999,13.124400000000000,8.617000000000001,6.197100000000000,65.349999999999994,59.541499999999999,25.142900000000001,13.962500000000000,9.530400000000000,62.263300000000001
19,310301,19.973600000000001,10.280099999999999,12.851599999999999,6.047500000000000,66.030000000000001,70.204599999999999,15.042199999999999,6.138700000000000,30.890000000000001,37.327500000000001
20,310302,12.500000000000000,6.103100000000000,9.513900000000000,4.264000000000000,57.399999999999999,68.421099999999996,13.938800000000001,6.108300000000000,7.310700000000000,36.749299999999998
21,310303,20.905000000000001,12.006000000000000,7.702700000000000,5.752900000000000,58.060000000000002,74.145300000000006,27.924399999999999,9.615399999999999,5.037700000000000,61.960700000000003
22,310304,21.589099999999998,4.811600000000000,12.663200000000000,4.980100000000000,50.549999999999997,74.472899999999996,30.131799999999998,14.457800000000001,8.167100000000000,75.910100000000000
23,310305,15.587700000000000,11.311500000000001,12.112800000000000,5.401600000000000,56.789999999999999,77.083299999999994,27.471100000000000,14.788300000000000,13.867699999999999,69.911600000000007
24,310306,19.739599999999999,11.528800000000000,11.704400000000000,5.390500000000000,62.369999999999997,76.564400000000006,17.547400000000000,7.116600000000000,32.570300000000003,39.458199999999998
25,310307,14.575300000000000,9.761900000000001,15.786500000000000,5.874800000000000,56.619999999999997,75.643000000000001,18.051100000000002,5.689000000000000,28.464500000000001,34.348700000000001
26,310308,10.734800000000000,6.813200000000000,6.170600000000000,5.534500000000000,57.979999999999997,69.317599999999999,18.566600000000001,7.529400000000000,4.872300000000000,39.413699999999999
27,310309,11.379500000000000,11.030300000000000,8.909700000000001,4.779400000000000,52.719999999999999,67.254000000000005,26.304400000000001,8.957400000000000,4.394600000000000,56.140900000000002
28,310310,14.013500000000001,12.743000000000000,9.468999999999999,5.516500000000000,60.609999999999999,80.529100000000000,40.336900000000000,14.127000000000001,7.411000000000000,83.811300000000003
29,310311,28.853400000000001,22.065300000000001,18.887000000000000,4.831800000000000,56.659999999999997,84.009299999999996,34.403399999999998,17.156199999999998,10.700900000000001,69.581500000000005
